datetime,open,high,low,close,tick_volume,spread,real_volume
2025-08-20 13:30:00,2277.4,2277.8,2277.34,2277.34,52,32,0
2025-08-20 13:31:00,2277.34,2277.36,2276.76,2276.8,44,32,0
2025-08-20 13:32:00,2276.84,2277.36,2276.66,2277.24,40,32,0
2025-08-20 13:33:00,2277.26,2277.34,2276.94,2277.04,42,32,0
2025-08-20 13:34:00,2277.0,2277.06,2276.76,2276.94,43,32,0
2025-08-20 13:35:00,2276.94,2277.04,2276.74,2276.74,25,32,0
2025-08-20 13:36:00,2276.74,2276.96,2276.74,2276.94,27,32,0
2025-08-20 13:37:00,2276.94,2277.24,2276.84,2276.84,26,32,0
2025-08-20 13:38:00,2276.84,2276.84,2276.44,2276.44,54,32,0
2025-08-20 13:39:00,2276.44,2276.64,2276.34,2276.54,48,32,0
2025-08-20 13:40:00,2276.54,2276.64,2276.34,2276.64,44,32,0
2025-08-20 13:41:00,2276.56,2277.24,2276.56,2277.14,50,32,0
2025-08-20 13:42:00,2277.1,2277.44,2276.98,2277.26,38,32,0
2025-08-20 13:43:00,2277.26,2277.58,2277.26,2277.34,41,32,0
2025-08-20 13:44:00,2277.32,2277.66,2277.28,2277.64,25,32,0
2025-08-20 13:45:00,2277.56,2277.56,2277.4,2277.44,7,32,0
2025-08-20 13:46:00,2277.44,2277.74,2277.36,2277.7,29,32,0
2025-08-20 13:47:00,2277.74,2278.16,2277.7,2277.94,44,32,0
2025-08-20 13:48:00,2277.94,2278.04,2277.64,2277.94,39,32,0
2025-08-20 13:49:00,2277.94,2278.04,2277.7,2278.04,21,32,0
2025-08-20 13:50:00,2278.06,2278.28,2277.92,2278.04,15,32,0
2025-08-20 13:51:00,2278.04,2278.34,2277.88,2278.34,15,32,0
2025-08-20 13:52:00,2278.34,2278.46,2277.98,2278.16,34,32,0
2025-08-20 13:53:00,2278.16,2278.3,2278.14,2278.24,15,32,0
2025-08-20 13:54:00,2278.24,2278.24,2277.68,2277.88,54,32,0
2025-08-20 13:55:00,2277.84,2278.04,2277.68,2277.7,24,32,0
2025-08-20 13:56:00,2277.7,2278.34,2277.7,2278.28,18,32,0
2025-08-20 13:57:00,2278.18,2278.2,2277.84,2277.84,36,32,0
2025-08-20 13:58:00,2277.84,2277.84,2277.2,2277.24,47,32,0
2025-08-20 13:59:00,2277.2,2278.04,2276.74,2277.74,70,32,0
2025-08-20 14:00:00,2277.74,2278.26,2277.66,2278.14,81,32,0
2025-08-20 14:01:00,2278.14,2278.7,2277.78,2278.16,97,32,0
2025-08-20 14:02:00,2278.18,2278.84,2277.88,2278.54,111,32,0
2025-08-20 14:03:00,2278.48,2278.56,2278.04,2278.44,74,32,0
2025-08-20 14:04:00,2278.46,2278.6,2278.34,2278.48,62,32,0
2025-08-20 14:05:00,2278.44,2278.54,2278.1,2278.14,54,32,0
2025-08-20 14:06:00,2278.26,2278.34,2277.9,2278.04,54,32,0
2025-08-20 14:07:00,2278.06,2278.16,2277.64,2277.8,42,32,0
2025-08-20 14:08:00,2277.74,2278.56,2277.74,2278.54,27,32,0
2025-08-20 14:09:00,2278.54,2278.54,2277.88,2278.14,40,32,0
2025-08-20 14:10:00,2278.14,2278.34,2277.98,2278.04,34,32,0
2025-08-20 14:11:00,2278.04,2278.04,2277.64,2277.94,63,32,0
2025-08-20 14:12:00,2277.94,2277.96,2277.64,2277.94,42,32,0
2025-08-20 14:13:00,2277.96,2277.96,2277.88,2277.94,23,32,0
2025-08-20 14:14:00,2277.94,2278.36,2277.94,2278.26,23,32,0
