time,open,high,low,close,tick_volume,spread,real_volume
2025-08-27 01:32:00,1.38348,1.3835,1.38334,1.38334,20.0,0.00011,0.0
2025-08-27 01:33:00,1.38338,1.38341,1.38338,1.3834,7.0,0.00011,0.0
2025-08-27 01:34:00,1.3834,1.38349,1.3834,1.38348,12.0,0.00011,0.0
2025-08-27 01:35:00,1.38348,1.38351,1.38348,1.38348,3.0,0.00011,0.0
2025-08-27 01:36:00,1.38348,1.38352,1.38348,1.38348,7.0,0.00011,0.0
2025-08-27 01:37:00,1.38348,1.38351,1.38348,1.38348,3.0,0.00011,0.0
2025-08-27 01:38:00,1.38348,1.38354,1.38346,1.38354,12.0,0.00011,0.0
2025-08-27 01:39:00,1.38354,1.38358,1.38352,1.38355,6.0,0.00011,0.0
2025-08-27 01:40:00,1.38355,1.38356,1.38346,1.38348,11.0,0.00011,0.0
2025-08-27 01:41:00,1.38348,1.38351,1.38348,1.38348,3.0,0.00011,0.0
2025-08-27 01:42:00,1.38348,1.38351,1.38345,1.3835,17.0,0.00011,0.0
2025-08-27 01:43:00,1.3835,1.3835,1.38348,1.3835,5.0,0.00011,0.0
2025-08-27 01:44:00,1.3835,1.3835,1.38348,1.38349,5.0,0.00011,0.0
2025-08-27 01:45:00,1.38349,1.38353,1.38347,1.3835,5.0,0.00011,0.0
2025-08-27 01:46:00,1.3835,1.38353,1.38349,1.38349,5.0,0.00011,0.0
2025-08-27 01:47:00,1.38349,1.3835,1.38345,1.38346,6.0,0.00011,0.0
2025-08-27 01:48:00,1.38346,1.38356,1.38346,1.38356,9.0,0.00011,0.0
2025-08-27 01:49:00,1.38356,1.38356,1.38348,1.3835,14.0,0.00011,0.0
2025-08-27 01:50:00,1.3835,1.38355,1.38348,1.38354,5.0,0.00011,0.0
2025-08-27 01:51:00,1.38354,1.38356,1.38352,1.38355,5.0,0.00011,0.0
2025-08-27 01:52:00,1.38355,1.38357,1.38347,1.3835,9.0,0.00011,0.0
2025-08-27 01:53:00,1.3835,1.3835,1.38344,1.38348,14.0,0.00011,0.0
2025-08-27 01:54:00,1.38348,1.3835,1.38336,1.38339,11.0,0.00011,0.0
2025-08-27 01:55:00,1.38339,1.3834,1.38337,1.3834,4.0,0.00011,0.0
2025-08-27 01:56:00,1.3834,1.38345,1.38334,1.38334,14.0,0.00011,0.0
2025-08-27 01:57:00,1.38337,1.3834,1.38337,1.38337,3.0,0.00011,0.0
2025-08-27 01:58:00,1.38337,1.38339,1.38337,1.38338,13.0,0.00011,0.0
2025-08-27 01:59:00,1.38338,1.38339,1.38334,1.38335,11.0,0.00011,0.0
2025-08-27 02:00:00,1.38335,1.38348,1.38335,1.38347,24.0,0.00011,0.0
2025-08-27 02:01:00,1.38347,1.3835,1.38347,1.3835,23.0,0.00011,0.0
2025-08-27 02:02:00,1.3835,1.38351,1.38347,1.38348,17.0,0.00011,0.0
2025-08-27 02:03:00,1.38348,1.38357,1.38347,1.3835,39.0,0.00011,0.0
2025-08-27 02:04:00,1.3835,1.38353,1.3835,1.38353,5.0,0.00011,0.0
2025-08-27 02:05:00,1.38353,1.38353,1.38343,1.38345,15.0,0.00011,0.0
2025-08-27 02:06:00,1.38345,1.38347,1.38343,1.38347,5.0,0.00011,0.0
2025-08-27 02:07:00,1.38347,1.38349,1.38344,1.38349,5.0,0.00011,0.0
2025-08-27 02:08:00,1.38349,1.38351,1.38345,1.38348,6.0,0.00011,0.0
