time,open,high,low,close,tick_volume,spread,real_volume
2025-08-26 14:58:00,6448.78,6449.16,6448.66,6448.66,9,1.29,0
2025-08-26 14:59:00,6448.91,6448.91,6448.28,6448.41,16,1.29,0
2025-08-26 15:00:00,6448.16,6448.91,6447.91,6447.91,20,1.29,0
2025-08-26 15:01:00,6447.66,6447.66,6446.66,6446.91,62,1.29,0
2025-08-26 15:02:00,6447.16,6447.66,6446.78,6447.41,29,1.29,0
2025-08-26 15:03:00,6447.16,6447.66,6446.66,6447.53,26,1.29,0
2025-08-26 15:04:00,6447.41,6447.66,6446.66,6446.66,24,1.29,0
2025-08-26 15:05:00,6446.41,6447.16,6446.41,6446.91,23,1.29,0
2025-08-26 15:06:00,6447.03,6447.41,6445.41,6446.16,30,1.29,0
2025-08-26 15:07:00,6445.91,6446.41,6445.53,6445.66,25,1.29,0
2025-08-26 15:08:00,6445.91,6446.41,6445.53,6446.41,18,1.29,0
2025-08-26 15:09:00,6446.16,6446.41,6445.16,6445.41,45,1.29,0
2025-08-26 15:10:00,6445.53,6446.41,6445.41,6446.16,30,1.29,0
2025-08-26 15:11:00,6446.41,6446.66,6445.91,6445.91,28,1.29,0
2025-08-26 15:12:00,6445.66,6446.53,6445.66,6445.91,19,1.29,0
2025-08-26 15:13:00,6446.03,6446.16,6445.16,6445.16,12,1.29,0
2025-08-26 15:14:00,6445.41,6445.41,6443.91,6443.91,32,1.29,0
2025-08-26 15:15:00,6443.78,6445.16,6442.41,6445.16,65,1.29,0
2025-08-26 15:16:00,6445.03,6446.91,6444.91,6446.91,40,1.29,0
2025-08-26 15:17:00,6446.78,6447.41,6446.28,6447.41,15,1.29,0
2025-08-26 15:18:00,6447.16,6447.41,6446.91,6447.41,24,1.29,0
2025-08-26 15:19:00,6447.16,6447.91,6446.41,6447.28,39,1.29,0
2025-08-26 15:20:00,6447.16,6447.41,6446.16,6446.78,29,1.29,0
2025-08-26 15:21:00,6446.91,6447.41,6446.66,6447.16,35,1.29,0
2025-08-26 15:22:00,6447.28,6448.41,6447.28,6448.28,15,1.29,0
2025-08-26 15:23:00,6448.41,6449.41,6448.16,6449.16,44,1.29,0
2025-08-26 15:24:00,6449.03,6449.16,6448.16,6448.53,18,1.29,0
2025-08-26 15:25:00,6448.66,6448.66,6447.53,6448.41,23,1.29,0
2025-08-26 15:26:00,6448.28,6448.66,6448.16,6448.16,20,1.29,0
2025-08-26 15:27:00,6448.28,6448.66,6448.16,6448.66,15,1.29,0
2025-08-26 15:28:00,6448.41,6448.66,6447.78,6447.91,18,1.29,0
2025-08-26 15:29:00,6447.78,6448.16,6446.91,6447.41,27,1.29,0
2025-08-26 15:30:00,6447.28,6448.78,6446.78,6448.66,49,1.29,0
2025-08-26 15:31:00,6449.16,6450.03,6448.66,6449.78,38,1.29,0
2025-08-26 15:32:00,6449.66,6450.41,6449.41,6449.91,26,1.29,0
2025-08-26 15:33:00,6450.03,6450.66,6449.91,6450.41,27,1.29,0
2025-08-26 15:34:00,6450.16,6451.16,6449.91,6450.66,39,1.29,0
2025-08-26 15:35:00,6450.53,6450.66,6449.16,6449.41,38,1.29,0
2025-08-26 15:36:00,6449.66,6449.66,6448.66,6448.66,21,1.29,0
2025-08-26 15:37:00,6448.41,6449.16,6448.16,6448.91,35,1.29,0
2025-08-26 15:38:00,6449.16,6449.91,6448.91,6449.16,29,1.29,0
2025-08-26 15:39:00,6449.28,6450.41,6449.28,6450.16,32,1.29,0
2025-08-26 15:40:00,6450.28,6450.41,6449.41,6449.91,24,1.29,0
2025-08-26 15:41:00,6450.03,6450.66,6449.91,6449.91,23,1.29,0
2025-08-26 15:42:00,6450.03,6450.16,6449.16,6449.41,31,1.29,0
2025-08-26 15:43:00,6449.53,6449.66,6448.66,6449.66,17,1.29,0
